year,datetime,stage,stadium,city,team_name,team_goals,playing_against,win_conditions,attendance,referee,assistant_1,assistant_2,round_id,match_id,win,response
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,Brazil,1,Germany,NA,58141,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255955,300186474,no,0
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,Brazil,1,Germany,NA,58141,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255955,300186474,no,0
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,Germany,7,Brazil,NA,58141,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255955,300186474,yes,1
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Belo Horizonte,Germany,7,Brazil,NA,58141,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255955,300186474,yes,1
2014,16 Jun 2014 - 13:00,Group G,Arena Fonte Nova,Salvador,Germany,4,Portugal,NA,51081,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),255931,300186475,yes,1
2014,16 Jun 2014 - 13:00,Group G,Arena Fonte Nova,Salvador,Portugal,0,Germany,NA,51081,MAZIC Milorad (SRB),RISTIC Milovan (SRB),DJURDJEVIC Dalibor (SRB),255931,300186475,no,0
2014,26 Jun 2014 - 13:00,Group G,Estadio Nacional,Brasilia,Portugal,2,Ghana,NA,67540,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),255931,300186476,yes,1
2014,26 Jun 2014 - 13:00,Group G,Estadio Nacional,Brasilia,Ghana,1,Portugal,NA,67540,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),255931,300186476,no,0
2014,15 Jun 2014 - 19:00,Group F,Estadio do Maracana,Rio De Janeiro,Argentina,2,Bosnia and Herzegovina,NA,74738,AGUILAR Joel (SLV),TORRES William (SLV),ZUMBA Juan (SLV),255931,300186477,yes,1
2014,15 Jun 2014 - 19:00,Group F,Estadio do Maracana,Rio De Janeiro,Bosnia and Herzegovina,1,Argentina,NA,74738,AGUILAR Joel (SLV),TORRES William (SLV),ZUMBA Juan (SLV),255931,300186477,no,0
