year,datetime,stage,stadium,city,team_name,team_goals,playing_against,win_conditions,attendance,referee,assistant_1,assistant_2,round_id,match_id,win,response
1990,24 Jun 1990 - 17:00,Round of 16,Stadio delle Alpi,Turin,Brazil,0,Argentina,NA,61381,QUINIOU Joel (FRA),SPIRIN Alexey (RUS),PAIRETTO Pierluigi (ITA),323,25,no,0
1990,24 Jun 1990 - 17:00,Round of 16,Stadio delle Alpi,Turin,Argentina,1,Brazil,NA,61381,QUINIOU Joel (FRA),SPIRIN Alexey (RUS),PAIRETTO Pierluigi (ITA),323,25,yes,1
1990,08 Jun 1990 - 18:00,Group B,Giuseppe Meazza,Milan,Argentina,0,Cameroon,NA,73780,VAUTROT Michel (FRA),MAURO Vincent (USA),LISTKIEWICZ Michal (POL),322,26,no,0
1990,08 Jun 1990 - 18:00,Group B,Giuseppe Meazza,Milan,Cameroon,1,Argentina,NA,73780,VAUTROT Michel (FRA),MAURO Vincent (USA),LISTKIEWICZ Michal (POL),322,26,yes,1
1990,08 Jul 1990 - 20:00,Final,Stadio Olimpico,Rome,Germany FR,1,Argentina,NA,73603,CODESAL MENDEZ Edgardo (MEX),PEREZ HOYOS Armando (COL),LISTKIEWICZ Michal (POL),3462,27,yes,1
1990,08 Jul 1990 - 20:00,Final,Stadio Olimpico,Rome,Argentina,0,Germany FR,NA,73603,CODESAL MENDEZ Edgardo (MEX),PEREZ HOYOS Armando (COL),LISTKIEWICZ Michal (POL),3462,27,no,0
1990,03 Jul 1990 - 20:00,Semi-finals,San Paolo,Naples,Italy,1,Argentina,win on penalties (3 - 4),59978,VAUTROT Michel (FRA),LISTKIEWICZ Michal (POL),MIKKELSEN Peter (DEN),3464,28,no,0
1990,03 Jul 1990 - 20:00,Semi-finals,San Paolo,Naples,Argentina,1,Italy,win on penalties (3 - 4),59978,VAUTROT Michel (FRA),LISTKIEWICZ Michal (POL),MIKKELSEN Peter (DEN),3464,28,yes,1
1990,18 Jun 1990 - 21:00,Group B,San Paolo,Naples,Argentina,1,Romania,NA,52733,SILVA VALENTE Carlos Alberto (POR),ULLOA MORERA Berny (CRC),LONGHI Carlo (ITA),322,29,no,0
1990,18 Jun 1990 - 21:00,Group B,San Paolo,Naples,Romania,1,Argentina,NA,52733,SILVA VALENTE Carlos Alberto (POR),ULLOA MORERA Berny (CRC),LONGHI Carlo (ITA),322,29,yes,1
1990,13 Jun 1990 - 21:00,Group B,San Paolo,Naples,Argentina,2,Soviet Union,NA,55759,FREDRIKSSON Erik (SWE),RAMIZ WRIGHT Jose (BRA),AL SHARIF Jamal (SYR),322,30,yes,1
1990,13 Jun 1990 - 21:00,Group B,San Paolo,Naples,Soviet Union,0,Argentina,NA,55759,FREDRIKSSON Erik (SWE),RAMIZ WRIGHT Jose (BRA),AL SHARIF Jamal (SYR),322,30,no,0
1990,30 Jun 1990 - 17:00,Quarter-finals,Comunale,Florence,Yugoslavia,0,Argentina,win on penalties (2 - 3),38971,ROETHLISBERGER Kurt (SUI),JOUINI Neji (TUN),HANSAL Mohamed (ALG),751,31,no,0
1990,30 Jun 1990 - 17:00,Quarter-finals,Comunale,Florence,Argentina,0,Yugoslavia,win on penalties (2 - 3),38971,ROETHLISBERGER Kurt (SUI),JOUINI Neji (TUN),HANSAL Mohamed (ALG),751,31,yes,1
1990,09 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,Italy,1,Austria,NA,73303,RAMIZ WRIGHT Jose (BRA),PEREZ HOYOS Armando (COL),SILVA VALENTE Carlos Alberto (POR),322,42,yes,1
1990,09 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,Austria,0,Italy,NA,73303,RAMIZ WRIGHT Jose (BRA),PEREZ HOYOS Armando (COL),SILVA VALENTE Carlos Alberto (POR),322,42,no,0
1990,15 Jun 1990 - 17:00,Group A,Comunale,Florence,Austria,0,Czechoslovakia,NA,38962,SMITH George (SCO),LORENC Richard (AUS),AL SHARIF Jamal (SYR),322,43,no,0
1990,15 Jun 1990 - 17:00,Group A,Comunale,Florence,Czechoslovakia,1,Austria,NA,38962,SMITH George (SCO),LORENC Richard (AUS),AL SHARIF Jamal (SYR),322,43,yes,1
1990,19 Jun 1990 - 21:00,Group A,Comunale,Florence,Austria,2,USA,NA,34857,AL SHARIF Jamal (SYR),LORENC Richard (AUS),PETROVIC Zoran (SRB),322,48,yes,1
1990,19 Jun 1990 - 21:00,Group A,Comunale,Florence,USA,1,Austria,NA,34857,AL SHARIF Jamal (SYR),LORENC Richard (AUS),PETROVIC Zoran (SRB),322,48,no,0
1990,26 Jun 1990 - 21:00,Round of 16,Renato Dall Ara,Bologna,England,1,Belgium,England win after extra time,34520,MIKKELSEN Peter (DEN),KOHL Helmut (AUT),TAKADA Shizuo (JPN),323,55,yes,1
1990,26 Jun 1990 - 21:00,Round of 16,Renato Dall Ara,Bologna,Belgium,0,England,England win after extra time,34520,MIKKELSEN Peter (DEN),KOHL Helmut (AUT),TAKADA Shizuo (JPN),323,55,no,0
1990,21 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Verona,Belgium,1,Spain,NA,35950,LOUSTAU Juan (ARG),MACIEL Carlos (PAR),MAURO Vincent (USA),322,56,no,0
1990,21 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Verona,Spain,2,Belgium,NA,35950,LOUSTAU Juan (ARG),MACIEL Carlos (PAR),MAURO Vincent (USA),322,56,yes,1
1990,12 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Verona,Belgium,2,Korea Republic,NA,32790,MAURO Vincent (USA),SNODDY Alan (NIR),COURTNEY George (ENG),322,57,yes,1
1990,12 Jun 1990 - 17:00,Group E,Marc Antonio Bentegodi,Verona,Korea Republic,0,Belgium,NA,32790,MAURO Vincent (USA),SNODDY Alan (NIR),COURTNEY George (ENG),322,57,no,0
1990,17 Jun 1990 - 21:00,Group E,Marc Antonio Bentegodi,Verona,Belgium,3,Uruguay,NA,33759,KIRSCHEN Siegfried (GER),MIKKELSEN Peter (DEN),SPIRIN Alexey (RUS),322,66,yes,1
1990,17 Jun 1990 - 21:00,Group E,Marc Antonio Bentegodi,Verona,Uruguay,1,Belgium,NA,33759,KIRSCHEN Siegfried (GER),MIKKELSEN Peter (DEN),SPIRIN Alexey (RUS),322,66,no,0
1990,16 Jun 1990 - 17:00,Group C,Stadio delle Alpi,Turin,Brazil,1,Costa Rica,NA,58007,JOUINI Neji (TUN),DIRAMBA Jean Fidele (GAB),MANDI Jassim (BHR),322,73,yes,1
1990,16 Jun 1990 - 17:00,Group C,Stadio delle Alpi,Turin,Costa Rica,0,Brazil,NA,58007,JOUINI Neji (TUN),DIRAMBA Jean Fidele (GAB),MANDI Jassim (BHR),322,73,no,0
1990,20 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Turin,Brazil,1,Scotland,NA,62502,KOHL Helmut (AUT),LISTKIEWICZ Michal (POL),KIRSCHEN Siegfried (GER),322,74,yes,1
1990,20 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Turin,Scotland,0,Brazil,NA,62502,KOHL Helmut (AUT),LISTKIEWICZ Michal (POL),KIRSCHEN Siegfried (GER),322,74,no,0
1990,10 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Turin,Brazil,2,Sweden,NA,62628,LANESE Tullio (ITA),VAUTROT Michel (FRA),JOUINI Neji (TUN),322,75,yes,1
1990,10 Jun 1990 - 21:00,Group C,Stadio delle Alpi,Turin,Sweden,1,Brazil,NA,62628,LANESE Tullio (ITA),VAUTROT Michel (FRA),JOUINI Neji (TUN),322,75,no,0
1990,23 Jun 1990 - 17:00,Round of 16,San Paolo,Naples,Cameroon,2,Colombia,Cameroon win after extra time,50026,LANESE Tullio (ITA),AL SHARIF Jamal (SYR),ULLOA MORERA Berny (CRC),323,102,yes,1
1990,23 Jun 1990 - 17:00,Round of 16,San Paolo,Naples,Colombia,1,Cameroon,Cameroon win after extra time,50026,LANESE Tullio (ITA),AL SHARIF Jamal (SYR),ULLOA MORERA Berny (CRC),323,102,no,0
1990,01 Jul 1990 - 21:00,Quarter-finals,San Paolo,Naples,England,3,Cameroon,England win after extra time,55205,CODESAL MENDEZ Edgardo (MEX),MAURO Vincent (USA),MANDI Jassim (BHR),751,103,yes,1
1990,01 Jul 1990 - 21:00,Quarter-finals,San Paolo,Naples,Cameroon,2,England,England win after extra time,55205,CODESAL MENDEZ Edgardo (MEX),MAURO Vincent (USA),MANDI Jassim (BHR),751,103,no,0
1990,14 Jun 1990 - 17:00,Group B,Stadio San Nicola,Bari,Cameroon,2,Romania,NA,38687,SILVA ARCE Hernan (CHI),SILVA VALENTE Carlos Alberto (POR),PEREZ HOYOS Armando (COL),322,108,yes,1
1990,14 Jun 1990 - 17:00,Group B,Stadio San Nicola,Bari,Romania,1,Cameroon,NA,38687,SILVA ARCE Hernan (CHI),SILVA VALENTE Carlos Alberto (POR),PEREZ HOYOS Armando (COL),322,108,no,0
1990,18 Jun 1990 - 21:00,Group B,Stadio San Nicola,Bari,Cameroon,0,Soviet Union,NA,37307,RAMIZ WRIGHT Jose (BRA),D ELIA Pietro (ITA),ROETHLISBERGER Kurt (SUI),322,111,no,0
1990,18 Jun 1990 - 21:00,Group B,Stadio San Nicola,Bari,Soviet Union,4,Cameroon,NA,37307,RAMIZ WRIGHT Jose (BRA),D ELIA Pietro (ITA),ROETHLISBERGER Kurt (SUI),322,111,yes,1
1990,19 Jun 1990 - 17:00,Group D,Giuseppe Meazza,Milan,Germany FR,1,Colombia,NA,72510,SNODDY Alan (NIR),MANDI Jassim (BHR),LANESE Tullio (ITA),322,114,no,0
1990,19 Jun 1990 - 17:00,Group D,Giuseppe Meazza,Milan,Colombia,1,Germany FR,NA,72510,SNODDY Alan (NIR),MANDI Jassim (BHR),LANESE Tullio (ITA),322,114,yes,1
1990,09 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,United Arab Emirates,0,Colombia,NA,30791,COURTNEY George (ENG),TAKADA Shizuo (JPN),SNODDY Alan (NIR),322,119,no,0
1990,09 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,Colombia,2,United Arab Emirates,NA,30791,COURTNEY George (ENG),TAKADA Shizuo (JPN),SNODDY Alan (NIR),322,119,yes,1
1990,14 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,Yugoslavia,1,Colombia,NA,32257,AGNOLIN Luigi (ITA),JOUINI Neji (TUN),DIRAMBA Jean Fidele (GAB),322,120,yes,1
1990,14 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,Colombia,0,Yugoslavia,NA,32257,AGNOLIN Luigi (ITA),JOUINI Neji (TUN),DIRAMBA Jean Fidele (GAB),322,120,no,0
1990,11 Jun 1990 - 17:00,Group C,Luigi Ferraris,Genoa,Costa Rica,1,Scotland,NA,30867,LOUSTAU Juan (ARG),MACIEL Carlos (PAR),JACOME GUERRERO Elias V. (ECU),322,127,yes,1
1990,11 Jun 1990 - 17:00,Group C,Luigi Ferraris,Genoa,Scotland,0,Costa Rica,NA,30867,LOUSTAU Juan (ARG),MACIEL Carlos (PAR),JACOME GUERRERO Elias V. (ECU),322,127,no,0
1990,20 Jun 1990 - 21:00,Group C,Luigi Ferraris,Genoa,Sweden,1,Costa Rica,NA,30223,PETROVIC Zoran (SRB),SNODDY Alan (NIR),COURTNEY George (ENG),322,128,no,0
1990,20 Jun 1990 - 21:00,Group C,Luigi Ferraris,Genoa,Costa Rica,2,Sweden,NA,30223,PETROVIC Zoran (SRB),SNODDY Alan (NIR),COURTNEY George (ENG),322,128,yes,1
1990,23 Jun 1990 - 21:00,Round of 16,Stadio San Nicola,Bari,Czechoslovakia,4,Costa Rica,NA,47673,KIRSCHEN Siegfried (GER),PEREZ HOYOS Armando (COL),D ELIA Pietro (ITA),323,129,yes,1
1990,23 Jun 1990 - 21:00,Round of 16,Stadio San Nicola,Bari,Costa Rica,1,Czechoslovakia,NA,47673,KIRSCHEN Siegfried (GER),PEREZ HOYOS Armando (COL),D ELIA Pietro (ITA),323,129,no,0
1990,21 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,England,1,Egypt,NA,34959,ROETHLISBERGER Kurt (SUI),ULLOA MORERA Berny (CRC),CODESAL MENDEZ Edgardo (MEX),322,150,yes,1
1990,21 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,Egypt,0,England,NA,34959,ROETHLISBERGER Kurt (SUI),ULLOA MORERA Berny (CRC),CODESAL MENDEZ Edgardo (MEX),322,150,no,0
1990,12 Jun 1990 - 21:00,Group F,Della Favorita,Palermo,Netherlands,1,Egypt,NA,33288,SORIANO ALADREN Emilio (ESP),CODESAL MENDEZ Edgardo (MEX),CARDELLINO DE SAN VICENTE Juan (URU),322,151,no,0
1990,12 Jun 1990 - 21:00,Group F,Della Favorita,Palermo,Egypt,1,Netherlands,NA,33288,SORIANO ALADREN Emilio (ESP),CODESAL MENDEZ Edgardo (MEX),CARDELLINO DE SAN VICENTE Juan (URU),322,151,yes,1
1990,17 Jun 1990 - 17:00,Group F,Della Favorita,Palermo,Republic of Ireland,0,Egypt,NA,33288,VAN LANGENHOVE Marcel (BEL),QUINIOU Joel (FRA),LO BELLO Rosario (ITA),322,152,no,0
1990,17 Jun 1990 - 17:00,Group F,Della Favorita,Palermo,Egypt,0,Republic of Ireland,NA,33288,VAN LANGENHOVE Marcel (BEL),QUINIOU Joel (FRA),LO BELLO Rosario (ITA),322,152,yes,1
1990,04 Jul 1990 - 20:00,Semi-finals,Stadio delle Alpi,Turin,Germany FR,1,England,win on penalties (4 - 3),62628,RAMIZ WRIGHT Jose (BRA),QUINIOU Joel (FRA),PEREZ HOYOS Armando (COL),3464,159,no,0
1990,04 Jul 1990 - 20:00,Semi-finals,Stadio delle Alpi,Turin,England,1,Germany FR,win on penalties (4 - 3),62628,RAMIZ WRIGHT Jose (BRA),QUINIOU Joel (FRA),PEREZ HOYOS Armando (COL),3464,159,yes,1
1990,16 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,England,0,Netherlands,NA,35267,PETROVIC Zoran (SRB),HANSAL Mohamed (ALG),CODESAL MENDEZ Edgardo (MEX),322,160,no,0
1990,16 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,Netherlands,0,England,NA,35267,PETROVIC Zoran (SRB),HANSAL Mohamed (ALG),CODESAL MENDEZ Edgardo (MEX),322,160,yes,1
1990,11 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,England,1,Republic of Ireland,NA,35238,SCHMIDHUBER Aron (GER),FREDRIKSSON Erik (SWE),ROETHLISBERGER Kurt (SUI),322,161,no,0
1990,11 Jun 1990 - 21:00,Group F,Sant Elia,Cagliari,Republic of Ireland,1,England,NA,35238,SCHMIDHUBER Aron (GER),FREDRIKSSON Erik (SWE),ROETHLISBERGER Kurt (SUI),322,161,no,0
1990,07 Jul 1990 - 20:00,Match for third place,Stadio San Nicola,Bari,Italy,2,England,NA,51426,QUINIOU Joel (FRA),HANSAL Mohamed (ALG),ROETHLISBERGER Kurt (SUI),3463,162,yes,1
1990,07 Jul 1990 - 20:00,Match for third place,Stadio San Nicola,Bari,England,1,Italy,NA,51426,QUINIOU Joel (FRA),HANSAL Mohamed (ALG),ROETHLISBERGER Kurt (SUI),3463,162,no,0
1990,17 Jun 1990 - 21:00,Group E,Dacia Arena,Udine,Korea Republic,1,Spain,NA,32733,JACOME GUERRERO Elias V. (ECU),MAGNI Pierluigi (ITA),LOUSTAU Juan (ARG),322,175,no,0
1990,17 Jun 1990 - 21:00,Group E,Dacia Arena,Udine,Spain,3,Korea Republic,NA,32733,JACOME GUERRERO Elias V. (ECU),MAGNI Pierluigi (ITA),LOUSTAU Juan (ARG),322,175,yes,1
1990,13 Jun 1990 - 17:00,Group E,Dacia Arena,Udine,Uruguay,0,Spain,NA,35713,KOHL Helmut (AUT),SPIRIN Alexey (RUS),KIRSCHEN Siegfried (GER),322,180,no,0
1990,13 Jun 1990 - 17:00,Group E,Dacia Arena,Udine,Spain,0,Uruguay,NA,35713,KOHL Helmut (AUT),SPIRIN Alexey (RUS),KIRSCHEN Siegfried (GER),322,180,yes,1
1990,26 Jun 1990 - 17:00,Round of 16,Marc Antonio Bentegodi,Verona,Spain,1,Yugoslavia,Yugoslavia win after extra time,35500,SCHMIDHUBER Aron (GER),SNODDY Alan (NIR),LISTKIEWICZ Michal (POL),323,181,no,0
1990,26 Jun 1990 - 17:00,Round of 16,Marc Antonio Bentegodi,Verona,Yugoslavia,2,Spain,Yugoslavia win after extra time,35500,SCHMIDHUBER Aron (GER),SNODDY Alan (NIR),LISTKIEWICZ Michal (POL),323,181,yes,1
1990,24 Jun 1990 - 21:00,Round of 16,Giuseppe Meazza,Milan,Germany FR,2,Netherlands,NA,74559,LOUSTAU Juan (ARG),JACOME GUERRERO Elias V. (ECU),MAURO Vincent (USA),323,196,yes,1
1990,24 Jun 1990 - 21:00,Round of 16,Giuseppe Meazza,Milan,Netherlands,1,Germany FR,NA,74559,LOUSTAU Juan (ARG),JACOME GUERRERO Elias V. (ECU),MAURO Vincent (USA),323,196,no,0
1990,01 Jul 1990 - 17:00,Quarter-finals,Giuseppe Meazza,Milan,Germany FR,1,Czechoslovakia,NA,73347,KOHL Helmut (AUT),MIKKELSEN Peter (DEN),LISTKIEWICZ Michal (POL),751,197,yes,1
1990,01 Jul 1990 - 17:00,Quarter-finals,Giuseppe Meazza,Milan,Czechoslovakia,0,Germany FR,NA,73347,KOHL Helmut (AUT),MIKKELSEN Peter (DEN),LISTKIEWICZ Michal (POL),751,197,no,0
1990,15 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Milan,Germany FR,5,United Arab Emirates,NA,71169,SPIRIN Alexey (RUS),TAKADA Shizuo (JPN),PAIRETTO Pierluigi (ITA),322,198,yes,1
1990,15 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Milan,United Arab Emirates,1,Germany FR,NA,71169,SPIRIN Alexey (RUS),TAKADA Shizuo (JPN),PAIRETTO Pierluigi (ITA),322,198,no,0
1990,10 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Milan,Germany FR,4,Yugoslavia,NA,74765,MIKKELSEN Peter (DEN),MANDI Jassim (BHR),LISTKIEWICZ Michal (POL),322,201,yes,1
1990,10 Jun 1990 - 21:00,Group D,Giuseppe Meazza,Milan,Yugoslavia,1,Germany FR,NA,74765,MIKKELSEN Peter (DEN),MANDI Jassim (BHR),LISTKIEWICZ Michal (POL),322,201,no,0
1990,21 Jun 1990 - 21:00,Group F,Della Favorita,Palermo,Republic of Ireland,1,Netherlands,NA,33288,VAUTROT Michel (FRA),LORENC Richard (AUS),HANSAL Mohamed (ALG),322,228,no,0
1990,21 Jun 1990 - 21:00,Group F,Della Favorita,Palermo,Netherlands,1,Republic of Ireland,NA,33288,VAUTROT Michel (FRA),LORENC Richard (AUS),HANSAL Mohamed (ALG),322,228,yes,1
1990,30 Jun 1990 - 21:00,Quarter-finals,Stadio Olimpico,Rome,Italy,1,Republic of Ireland,NA,73303,SILVA VALENTE Carlos Alberto (POR),PEREZ HOYOS Armando (COL),ULLOA MORERA Berny (CRC),751,243,yes,1
1990,30 Jun 1990 - 21:00,Quarter-finals,Stadio Olimpico,Rome,Republic of Ireland,0,Italy,NA,73303,SILVA VALENTE Carlos Alberto (POR),PEREZ HOYOS Armando (COL),ULLOA MORERA Berny (CRC),751,243,no,0
1990,25 Jun 1990 - 17:00,Round of 16,Luigi Ferraris,Genoa,Republic of Ireland,0,Romania,Republic of Ireland win on penalties (5 - 4),31818,RAMIZ WRIGHT Jose (BRA),MACIEL Carlos (PAR),MANDI Jassim (BHR),323,248,no,0
1990,25 Jun 1990 - 17:00,Round of 16,Luigi Ferraris,Genoa,Romania,0,Republic of Ireland,Republic of Ireland win on penalties (5 - 4),31818,RAMIZ WRIGHT Jose (BRA),MACIEL Carlos (PAR),MANDI Jassim (BHR),323,248,yes,1
1990,19 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,Italy,2,Czechoslovakia,NA,73303,QUINIOU Joel (FRA),VAN LANGENHOVE Marcel (BEL),SMITH George (SCO),322,263,yes,1
1990,19 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,Czechoslovakia,0,Italy,NA,73303,QUINIOU Joel (FRA),VAN LANGENHOVE Marcel (BEL),SMITH George (SCO),322,263,no,0
1990,25 Jun 1990 - 21:00,Round of 16,Stadio Olimpico,Rome,Italy,2,Uruguay,NA,73303,COURTNEY George (ENG),ROETHLISBERGER Kurt (SUI),PETROVIC Zoran (SRB),323,264,yes,1
1990,25 Jun 1990 - 21:00,Round of 16,Stadio Olimpico,Rome,Uruguay,0,Italy,NA,73303,COURTNEY George (ENG),ROETHLISBERGER Kurt (SUI),PETROVIC Zoran (SRB),323,264,no,0
1990,14 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,Italy,1,USA,NA,73423,CODESAL MENDEZ Edgardo (MEX),CARDELLINO DE SAN VICENTE Juan (URU),ULLOA MORERA Berny (CRC),322,265,yes,1
1990,14 Jun 1990 - 21:00,Group A,Stadio Olimpico,Rome,USA,0,Italy,NA,73423,CODESAL MENDEZ Edgardo (MEX),CARDELLINO DE SAN VICENTE Juan (URU),ULLOA MORERA Berny (CRC),322,265,no,0
1990,21 Jun 1990 - 17:00,Group E,Friuli,Udine,Korea Republic,0,Uruguay,NA,29039,LANESE Tullio (ITA),DIRAMBA Jean Fidele (GAB),JOUINI Neji (TUN),322,290,no,0
1990,21 Jun 1990 - 17:00,Group E,Friuli,Udine,Uruguay,1,Korea Republic,NA,29039,LANESE Tullio (ITA),DIRAMBA Jean Fidele (GAB),JOUINI Neji (TUN),322,290,yes,1
1990,09 Jun 1990 - 17:00,Group B,Stadio San Nicola,Bari,Soviet Union,0,Romania,NA,42907,CARDELLINO DE SAN VICENTE Juan (URU),SORIANO ALADREN Emilio (ESP),SILVA ARCE Hernan (CHI),322,342,no,0
1990,09 Jun 1990 - 17:00,Group B,Stadio San Nicola,Bari,Romania,2,Soviet Union,NA,42907,CARDELLINO DE SAN VICENTE Juan (URU),SORIANO ALADREN Emilio (ESP),SILVA ARCE Hernan (CHI),322,342,yes,1
1990,16 Jun 1990 - 21:00,Group C,Luigi Ferraris,Genoa,Sweden,1,Scotland,NA,31823,MACIEL Carlos (PAR),MAURO Vincent (USA),LISTKIEWICZ Michal (POL),322,348,no,0
1990,16 Jun 1990 - 21:00,Group C,Luigi Ferraris,Genoa,Scotland,2,Sweden,NA,31823,MACIEL Carlos (PAR),MAURO Vincent (USA),LISTKIEWICZ Michal (POL),322,348,yes,1
1990,10 Jun 1990 - 17:00,Group A,Comunale,Florence,USA,1,Czechoslovakia,NA,33266,ROETHLISBERGER Kurt (SUI),VAN LANGENHOVE Marcel (BEL),SCHMIDHUBER Aron (GER),322,355,no,0
1990,10 Jun 1990 - 17:00,Group A,Comunale,Florence,Czechoslovakia,5,USA,NA,33266,ROETHLISBERGER Kurt (SUI),VAN LANGENHOVE Marcel (BEL),SCHMIDHUBER Aron (GER),322,355,yes,1
1990,19 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,Yugoslavia,4,United Arab Emirates,NA,27833,TAKADA Shizuo (JPN),MIKKELSEN Peter (DEN),VAUTROT Michel (FRA),322,364,yes,1
1990,19 Jun 1990 - 17:00,Group D,Renato Dall Ara,Bologna,United Arab Emirates,1,Yugoslavia,NA,27833,TAKADA Shizuo (JPN),MIKKELSEN Peter (DEN),VAUTROT Michel (FRA),322,364,no,0
1986,06 Jun 1986 - 12:00,Group D,Jalisco,Guadalajara,Brazil,1,Algeria,NA,48000,MENDEZ MOLINA Romulo (GUA),MARTINEZ BAZAN Jose Luis (URU),QUINIOU Joel (FRA),308,377,yes,1
1986,06 Jun 1986 - 12:00,Group D,Jalisco,Guadalajara,Algeria,0,Brazil,NA,48000,MENDEZ MOLINA Romulo (GUA),MARTINEZ BAZAN Jose Luis (URU),QUINIOU Joel (FRA),308,377,no,0
1986,12 Jun 1986 - 12:00,Group D,Tecnologico,Monterrey,Algeria,0,Spain,NA,23980,TAKADA Shizuo (JPN),PICON-ACKONG Edwin (MRI),ESPOSITO Carlos (ARG),308,378,no,0
1986,12 Jun 1986 - 12:00,Group D,Tecnologico,Monterrey,Spain,3,Algeria,NA,23980,TAKADA Shizuo (JPN),PICON-ACKONG Edwin (MRI),ESPOSITO Carlos (ARG),308,378,yes,1
1986,03 Jun 1986 - 12:00,Group D,Tres de Marzo,Guadalajara,Algeria,1,Northern Ireland,NA,22000,BUTENKO Valeri (RUS),DAINA Andre (SUI),PETROVIC Zoran (SRB),308,379,no,0
1986,03 Jun 1986 - 12:00,Group D,Tres de Marzo,Guadalajara,Northern Ireland,1,Algeria,NA,22000,BUTENKO Valeri (RUS),DAINA Andre (SUI),PETROVIC Zoran (SRB),308,379,yes,1
1986,25 Jun 1986 - 16:00,Semi-finals,Estadio Azteca,Mexico City,Argentina,2,Belgium,NA,114500,MARQUEZ RAMIREZ Antonio (MEX),MENDEZ MOLINA Romulo (GUA),SILVA VALENTE Carlos Alberto (POR),3469,388,yes,1
1986,25 Jun 1986 - 16:00,Semi-finals,Estadio Azteca,Mexico City,Belgium,0,Argentina,NA,114500,MARQUEZ RAMIREZ Antonio (MEX),MENDEZ MOLINA Romulo (GUA),SILVA VALENTE Carlos Alberto (POR),3469,388,no,0
1986,10 Jun 1986 - 12:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Argentina,2,Bulgaria,NA,65000,ULLOA MORERA Berny (CRC),ARPPI FILHO Romualdo (BRA),MARTINEZ BAZAN Jose Luis (URU),308,389,yes,1
1986,10 Jun 1986 - 12:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Bulgaria,0,Argentina,NA,65000,ULLOA MORERA Berny (CRC),ARPPI FILHO Romualdo (BRA),MARTINEZ BAZAN Jose Luis (URU),308,389,no,0
1986,22 Jun 1986 - 12:00,Quarter-finals,Estadio Azteca,Mexico City,Argentina,2,England,NA,114580,BENNACEUR Ali (TUN),ULLOA MORERA Berny (CRC),DOTCHEV Bogdan (BUL),714,392,yes,1
1986,22 Jun 1986 - 12:00,Quarter-finals,Estadio Azteca,Mexico City,England,1,Argentina,NA,114580,BENNACEUR Ali (TUN),ULLOA MORERA Berny (CRC),DOTCHEV Bogdan (BUL),714,392,no,0
1986,29 Jun 1986 - 12:00,Final,Estadio Azteca,Mexico City,Argentina,3,Germany FR,NA,114600,ARPPI FILHO Romualdo (BRA),FREDRIKSSON Erik (SWE),ULLOA MORERA Berny (CRC),3467,393,yes,1
1986,29 Jun 1986 - 12:00,Final,Estadio Azteca,Mexico City,Germany FR,2,Argentina,NA,114600,ARPPI FILHO Romualdo (BRA),FREDRIKSSON Erik (SWE),ULLOA MORERA Berny (CRC),3467,393,no,0
1986,05 Jun 1986 - 12:00,Group A,Cuauhtemoc,Puebla,Italy,1,Argentina,NA,32000,KEIZER Jan (NED),MARQUEZ RAMIREZ Antonio (MEX),SNODDY Alan (NIR),308,394,no,0
1986,05 Jun 1986 - 12:00,Group A,Cuauhtemoc,Puebla,Argentina,1,Italy,NA,32000,KEIZER Jan (NED),MARQUEZ RAMIREZ Antonio (MEX),SNODDY Alan (NIR),308,394,yes,1
1986,02 Jun 1986 - 12:00,Group A,Estadio Ol�mpico Universitario,Mexico City,Argentina,3,Korea Republic,NA,60000,SANCHEZ ARMINIO Victoriano (ESP),GONZALEZ ROA Gabriel (PAR),DIAZ PALACIO Jesus (COL),308,395,yes,1
